Schedule	3/30/2023	3/31/2023	4/1/2023	4/2/2023	4/3/2023	4/4/2023	4/5/2023	4/6/2023	4/7/2023	4/8/2023	4/9/2023	4/10/2023	4/11/2023	4/12/2023	4/13/2023	4/14/2023	4/15/2023	4/16/2023	4/17/2023	4/18/2023	4/19/2023	4/20/2023	4/21/2023	4/22/2023	4/23/2023	4/24/2023	4/25/2023	4/26/2023	4/27/2023	4/28/2023	4/29/2023	4/30/2023	5/1/2023	5/2/2023	5/3/2023	5/4/2023	5/5/2023	5/6/2023	5/7/2023	5/8/2023	5/9/2023	5/10/2023	5/11/2023	5/12/2023	5/13/2023	5/14/2023	5/15/2023	5/16/2023	5/17/2023	5/18/2023	5/19/2023	5/20/2023	5/21/2023	5/22/2023	5/23/2023	5/24/2023	5/25/2023	5/26/2023	5/27/2023	5/28/2023	5/29/2023	5/30/2023	5/31/2023	6/1/2023	6/2/2023	6/3/2023	6/4/2023	6/5/2023	6/6/2023	6/7/2023	6/8/2023	6/9/2023	6/10/2023	6/11/2023	6/12/2023	6/13/2023	6/14/2023	6/15/2023	6/16/2023	6/17/2023	6/18/2023	6/19/2023	6/20/2023	6/21/2023	6/22/2023	6/23/2023	6/24/2023	6/25/2023	6/26/2023	6/27/2023	6/28/2023	6/29/2023	6/30/2023	7/1/2023	7/2/2023	7/3/2023	7/4/2023	7/5/2023	7/6/2023	7/7/2023	7/8/2023	7/9/2023	7/10/2023	7/11/2023	7/12/2023	7/13/2023	7/14/2023	7/15/2023	7/16/2023	7/17/2023	7/18/2023	7/19/2023	7/20/2023	7/21/2023	7/22/2023	7/23/2023	7/24/2023	7/25/2023	7/26/2023	7/27/2023	7/28/2023	7/29/2023	7/30/2023	7/31/2023	8/1/2023	8/2/2023	8/3/2023	8/4/2023	8/5/2023	8/6/2023	8/7/2023	8/8/2023	8/9/2023	8/10/2023	8/11/2023	8/12/2023	8/13/2023	8/14/2023	8/15/2023	8/16/2023	8/17/2023	8/18/2023	8/19/2023	8/20/2023	8/21/2023	8/22/2023	8/23/2023	8/24/2023	8/25/2023	8/26/2023	8/27/2023	8/28/2023	8/29/2023	8/30/2023	8/31/2023	9/1/2023	9/2/2023	9/3/2023	9/4/2023	9/5/2023	9/6/2023	9/7/2023	9/8/2023	9/9/2023	9/10/2023	9/11/2023	9/12/2023	9/13/2023	9/14/2023	9/15/2023	9/16/2023	9/17/2023	9/18/2023	9/19/2023	9/20/2023	9/21/2023	9/22/2023	9/23/2023	9/24/2023	9/25/2023	9/26/2023	9/27/2023	9/28/2023	9/29/2023	9/30/2023	10/1/2023
Austin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oakland	1	2	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	8	7	6	5	4	3	2	1	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	2	1	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	2	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	2	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	2	1	1	1	x	x	x	x	x	x	x	x
San Francisco	9	8	7	6	5	4	3	2	2	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	6	5	4	3	2	1	1	3	2	1	2	9	8	7	6	5	4	3	2	2	1	3	2	1	1	6	5	4	3	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	9	8	7	6	5	4	3	2	1	2	1	2	1	2	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	x
Bay Area	9	8	7	6	5	4	10	9	8	7	6	5	4	9	8	7	6	5	4	3	10	9	8	7	6	5	4	3	9	8	7	6	5	4	3	8	7	6	5	4	3	6	5	4	3	3	3	3	10	9	8	7	9	8	7	6	5	4	3	3	3	3	13	12	11	10	9	8	7	6	5	4	3	9	8	7	6	5	4	3	10	9	8	7	6	5	4	9	8	7	6	5	4	3	13	12	11	10	9	8	7	17	16	15	14	13	12	11	10	9	8	7	6	5	4	14	13	12	11	10	9	8	7	6	5	4	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	13	12	11	10	9	8	7	6	5	4	3	x	x	x	x	x	x	x	x
Los Angeles	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	2	9	9	8	7	6	5	4	3	2	1	1	1	1	1	6	5	4	3	2	1	2	10	9	8	7	6	5	4	3	1	1	1	1	1	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	1	1	3	2	1	1	3	2	1	1	1	7	6	5	4	3	2	1	1	1	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	8	7	6	5	4	3	2	2	1	1	1	5	4	3	2	1	1	1	1	1	1	x	x	x	x	x	x	x	x
Anaheim	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	5	4	3	2	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	x
Southern California	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	3	9	8	7	6	5	4	10	9	8	7	6	5	4	10	9	8	7	6	5	4	13	12	11	10	9	8	7	6	5	4	3	10	9	8	7	6	5	4	9	9	8	7	6	5	4	10	9	8	7	6	5	4	6	5	4	3	5	4	3	10	9	8	7	6	5	4	13	12	11	10	9	8	7	17	16	15	14	13	12	11	10	9	8	7	6	5	4	12	11	10	9	8	7	6	5	4	3	3	3	7	6	5	4	3	3	9	8	7	6	5	4	3	3	3	3	9	8	7	13	12	11	10	9	8	7	6	5	4	3	8	7	6	5	4	3	3	6	5	4	3	5	4	3	9	8	7	6	5	4	3	x	x	x	x	x	x	x	x
San Diego	2	1	1	2	1	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	11	10	9	8	7	6	5	4	3	2	2	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	7	6	5	4	3	2	1	1	1	1	1	6	5	4	3	2	1	2	9	8	7	6	5	4	3	2	1	2	1	2	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	6	5	4	3	2	1	1	2	8	7	6	5	4	3	2	1	1	1	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	x	x	x	x	x	x	x	x
Phoenix	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	6	5	4	3	2	2	1	1	1	2	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	6	5	4	3	2	1	1	2	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	10	9	8	7	6	5	4	3	2	1	1	x
Denver	8	7	6	5	4	3	2	2	1	1	2	1	1	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x
