39	Austin	Sacramento	San Francisco	Los Angeles	Anaheim	San Diego	Phoenix	Denver	Kansas City	Arlington	Milwaukee	Chicago - Wrigley	Chicago - U.S. Cellular	Cleveland	Baltimore	Washington	Detroit	Cincinnati	Minneapolis	Boston	Pittsburgh	St. Louis	Atlanta	Miami	Tampa	Houston	Philadelphia	Queens	The Bronx	Toronto	Seattle	Dyersville	Mt. Pleasant	Durham	Cooperstown	Disneyworld	Bowling Green	Rickwood Field
Austin	0	24	24	19	18	17	13	12	11	3	19	17	17	22	24	24	21	18	17	30	22	13	15	21	18	3	25	27	27	25	32	16	22	21	28	18	14	12
Sacramento	28	0	2	6	6	7	11	18	27	27	32	32	31	37	43	43	36	36	29	47	39	30	39	47	44	30	44	44	44	40	12	29	35	43	44	44	35	36
San Francisco	29	2	0	6	7	8	12	20	28	27	33	33	33	38	44	44	37	37	31	47	40	32	39	47	44	30	45	45	45	41	13	31	36	44	45	44	36	36
Los Angeles	22	6	6	0	1	2	6	19	26	23	33	32	32	37	42	42	37	34	31	46	38	28	34	42	40	24	43	44	44	41	18	30	37	39	43	39	32	31
Anaheim	22	7	7	1	0	2	6	17	26	23	32	32	32	37	41	42	37	34	31	46	38	28	34	42	39	24	43	44	44	41	18	32	37	39	43	39	33	31
San Diego	21	8	8	2	2	0	5	18	25	22	33	32	32	36	41	42	36	34	30	47	36	28	34	41	38	23	43	44	44	40	19	30	36	39	44	37	32	30
Phoenix	17	12	12	6	6	5	0	14	20	17	28	27	27	32	36	36	32	29	27	42	33	23	29	36	34	19	37	39	39	36	22	26	31	34	38	34	26	26
Denver	15	16	17	14	13	14	12	0	9	13	15	15	15	21	26	26	20	19	14	31	23	13	22	31	29	16	27	28	28	23	18	13	21	26	27	28	17	18
Kansas City	11	23	24	21	21	22	17	7	0	8	8	8	8	12	17	17	12	10	7	22	13	3	13	22	19	12	18	19	19	16	25	6	13	16	19	19	8	11
Arlington	3	24	24	19	18	17	13	11	8	0	15	14	14	18	21	21	18	15	14	27	19	10	13	20	17	4	23	24	24	22	29	13	18	18	25	17	11	9
Milwaukee	18	28	30	27	27	29	24	14	7	15	0	2	2	8	13	13	7	7	5	17	9	5	14	23	20	17	14	14	14	11	26	3	6	15	14	20	8	12
Chicago - Wrigley	17	28	30	27	27	28	24	13	8	14	2	0	0	6	12	12	5	6	6	15	8	4	12	22	18	16	12	13	13	10	27	4	5	13	13	19	6	10
Chicago - U.S. Cellular	17	27	29	27	27	28	23	13	6	15	2	0	0	6	11	11	5	6	6	15	8	4	12	21	18	16	12	13	13	9	29	4	5	13	12	18	6	10
Cleveland	20	31	33	31	31	31	26	19	11	17	6	5	4	0	6	6	3	4	11	9	2	7	10	18	16	19	7	7	7	5	32	8	4	8	6	15	6	10
Baltimore	22	36	37	36	35	36	31	23	15	19	11	10	9	6	0	1	8	8	15	8	4	12	11	16	15	20	2	4	4	9	37	13	10	6	6	14	9	11
Washington	21	36	38	35	35	36	31	23	15	19	11	11	11	6	1	0	8	8	16	9	4	12	10	15	14	19	3	5	5	9	37	14	10	5	7	13	9	10
Detroit	19	30	32	30	30	31	26	17	9	16	5	4	3	3	8	8	0	4	10	12	4	7	11	20	17	19	9	9	9	4	31	7	3	10	8	17	8	10
Cincinnati	16	30	31	29	29	28	23	15	8	13	6	4	4	4	8	8	4	0	10	13	4	4	7	17	13	15	9	10	10	8	31	7	6	8	9	13	2	6
Minneapolis	17	25	27	26	27	28	23	12	6	14	5	7	7	13	18	19	12	12	0	22	15	8	17	27	24	18	15	20	20	15	22	4	11	19	19	23	12	16
Boston	29	41	42	40	40	41	36	27	20	25	15	14	14	10	8	9	11	13	20	0	10	17	18	23	20	26	7	4	4	9	41	17	13	13	4	21	15	18
Pittsburgh	20	33	34	32	32	32	27	19	12	18	7	6	6	2	4	5	3	5	12	9	0	8	11	17	15	19	5	7	6	6	33	10	6	7	7	15	7	10
St. Louis	13	26	28	24	24	24	19	11	4	10	5	5	5	9	13	14	9	6	8	19	10	0	10	19	16	12	14	16	16	12	28	5	9	13	15	16	5	7
Atlanta	13	33	33	29	29	28	24	19	11	11	12	10	10	11	11	10	11	7	16	17	11	8	0	10	7	11	12	14	14	14	35	13	11	6	15	7	4	2
Miami	19	42	41	36	36	35	31	28	20	19	20	20	19	19	16	16	20	17	25	23	18	17	10	0	4	16	17	19	19	23	45	22	22	12	21	4	15	11
Tampa	15	37	37	33	32	32	28	24	17	15	17	16	16	16	14	13	17	13	22	19	15	14	7	4	0	13	15	17	17	20	42	18	18	10	19	2	10	8
Houston	3	26	26	20	20	19	15	14	11	4	17	16	16	20	22	22	20	20	18	28	21	12	13	18	15	0	24	26	25	24	32	17	20	18	26	14	13	10
Philadelphia	24	38	39	37	37	37	32	23	15	20	12	11	11	7	2	3	9	9	19	6	5	13	13	18	16	22	0	3	3	8	38	14	11	7	5	15	11	13
Queens	25	39	40	38	38	39	34	25	18	23	13	12	12	8	4	5	10	11	18	4	7	14	14	20	18	24	2	0	1	9	39	15	12	9	4	17	13	14
The Bronx	25	38	40	38	38	39	33	24	17	23	13	12	11	8	4	5	10	11	17	4	7	14	14	19	17	23	2	1	0	8	39	15	12	9	4	17	13	14
Toronto	23	34	36	35	35	35	30	21	14	21	10	9	8	5	9	9	4	8	14	9	6	11	14	23	20	23	9	9	8	0	35	11	6	13	6	20	10	14
Seattle	33	13	14	19	19	20	21	20	29	33	30	31	31	38	43	43	36	37	26	47	39	33	41	51	48	36	43	45	44	40	0	29	35	44	46	48	36	39
Dyersville	16	25	27	27	26	27	22	11	6	14	3	4	4	10	15	16	9	9	4	20	12	5	14	23	20	17	17	17	17	13	25	0	9	16	17	20	9	12
Mt. Pleasant	19	30	31	31	31	31	26	17	10	17	4	3	3	4	10	10	2	6	9	13	6	7	12	21	19	19	11	11	11	5	30	6	0	12	9	18	7	10
Durham	19	38	37	34	34	33	29	22	15	16	12	11	11	8	5	4	10	8	17	11	8	11	6	12	10	16	6	8	8	12	39	14	12	0	10	9	8	7
Cooperstown	25	37	39	38	38	38	33	23	17	23	12	11	10	6	5	6	8	10	16	4	7	13	15	21	19	24	4	4	4	5	38	14	9	10	0	18	12	15
Disneyworld	16	38	38	33	33	32	27	24	17	15	17	16	16	18	13	13	17	13	22	19	15	13	7	3	1	13	15	16	16	20	42	18	19	9	18	0	10	8
Bowling Green	14	30	32	28	28	28	23	16	8	11	7	6	6	8	11	12	9	4	12	17	8	5	6	15	12	13	13	14	14	12	33	9	8	10	15	12	0	4
Rickwood Field	12	31	31	27	27	26	22	18	11	9	11	10	10	11	12	12	12	8	16	18	12	7	3	13	10	10	14	15	15	15	35	12	13	9	17	9	4	0
