Schedule	3/27/2025	3/28/2025	3/29/2025	3/30/2025	3/31/2025	4/1/2025	4/2/2025	4/3/2025	4/4/2025	4/5/2025	4/6/2025	4/7/2025	4/8/2025	4/9/2025	4/10/2025	4/11/2025	4/12/2025	4/13/2025	4/14/2025	4/15/2025	4/16/2025	4/17/2025	4/18/2025	4/19/2025	4/20/2025	4/21/2025	4/22/2025	4/23/2025	4/24/2025	4/25/2025	4/26/2025	4/27/2025	4/28/2025	4/29/2025	4/30/2025	5/1/2025	5/2/2025	5/3/2025	5/4/2025	5/5/2025	5/6/2025	5/7/2025	5/8/2025	5/9/2025	5/10/2025	5/11/2025	5/12/2025	5/13/2025	5/14/2025	5/15/2025	5/16/2025	5/17/2025	5/18/2025	5/19/2025	5/20/2025	5/21/2025	5/22/2025	5/23/2025	5/24/2025	5/25/2025	5/26/2025	5/27/2025	5/28/2025	5/29/2025	5/30/2025	5/31/2025	6/1/2025	6/2/2025	6/3/2025	6/4/2025	6/5/2025	6/6/2025	6/7/2025	6/8/2025	6/9/2025	6/10/2025	6/11/2025	6/12/2025	6/13/2025	6/14/2025	6/15/2025	6/16/2025	6/17/2025	6/18/2025	6/19/2025	6/20/2025	6/21/2025	6/22/2025	6/23/2025	6/24/2025	6/25/2025	6/26/2025	6/27/2025	6/28/2025	6/29/2025	6/30/2025	7/1/2025	7/2/2025	7/3/2025	7/4/2025	7/5/2025	7/6/2025	7/7/2025	7/8/2025	7/9/2025	7/10/2025	7/11/2025	7/12/2025	7/13/2025	7/14/2025	7/15/2025	7/16/2025	7/17/2025	7/18/2025	7/19/2025	7/20/2025	7/21/2025	7/22/2025	7/23/2025	7/24/2025	7/25/2025	7/26/2025	7/27/2025	7/28/2025	7/29/2025	7/30/2025	7/31/2025	8/1/2025	8/2/2025	8/3/2025	8/4/2025	8/5/2025	8/6/2025	8/7/2025	8/8/2025	8/9/2025	8/10/2025	8/11/2025	8/12/2025	8/13/2025	8/14/2025	8/15/2025	8/16/2025	8/17/2025	8/18/2025	8/19/2025	8/20/2025	8/21/2025	8/22/2025	8/23/2025	8/24/2025	8/25/2025	8/26/2025	8/27/2025	8/28/2025	8/29/2025	8/30/2025	8/31/2025	9/1/2025	9/2/2025	9/3/2025	9/4/2025	9/5/2025	9/6/2025	9/7/2025	9/8/2025	9/9/2025	9/10/2025	9/11/2025	9/12/2025	9/13/2025	9/14/2025	9/15/2025	9/16/2025	9/17/2025	9/18/2025	9/19/2025	9/20/2025	9/21/2025	9/22/2025	9/23/2025	9/24/2025	9/25/2025	9/26/2025	9/27/2025	9/28/2025
Austin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacramento	5	4	3	2	2	2	10	9	8	7	6	5	4	3	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	2	2	2	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	x
San Francisco	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	5	4	3	2	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	3	2	2	2	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	1	10	9	8	7	6	5	4	3	2	2	2	2	2	3	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	x
Los Angeles	2	2	2	3	2	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	6	5	4	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	6	5	4	3	2	2	2	2	2	2	2	x	x	x	x	x	x	x	x
Anaheim	9	7	6	5	4	3	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	8	7	6	5	4	3	2	1	1	1	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	2	1	1	2	1	1	6	5	4	3	2	1	1	1	5	4	3	2	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x
San Diego	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	3	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	6	5	4	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	x
Phoenix	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	3	2	1	1	x	x	x	x
Denver	9	8	7	6	5	4	3	2	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	7	6	5	4	3	2	1	2	2	1	1	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	x	x	x	x	x	x	x	x	x
Kansas City	3	2	2	6	5	4	3	2	1	2	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	x	x	x	x	x	x	x	x
Arlington	2	1	2	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	x	x	x	x
